Title                                                           15.10.2024 18:00
________________________________________________________________________________

Title


FileName:
  SR_TGA_K001_PP, 15.10.2024 18:00:21
  Sample Weight
SampleID:
  SR_TGA_K001_PP, 4.9292 mg
Texts:

Remarks:
  
Evaluation:
  SR_TGA_K001_PP
Method:
  MT1a SR_PP_cracking
Order Nr:
  
Customer:
  
User:
  thermo
Results:
Curve:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            320            320         75.549         76.667          4.938
            321            321         75.627         76.750        4.93799
            322            322         75.722         76.833        4.93797
            323            323         75.804         76.917        4.93795
            324            324         75.897         77.000        4.93789
            325            325         75.975         77.083        4.93786
            326            326         76.056         77.167        4.93787
            327            327         76.142         77.250        4.93789
            328            328         76.227         77.333        4.93791
            329            329         76.312         77.417        4.93794
            330            330         76.405         77.500        4.93796
            331            331         76.493         77.583        4.93798
            332            332         76.570         77.667        4.93802
            333            333         76.657         77.750        4.93804
            334            334         76.753         77.833        4.93805
            335            335         76.833         77.917        4.93806
            336            336         76.916         78.000        4.93803
            337            337         77.007         78.083        4.93802
            338            338         77.085         78.167          4.938
            339            339         77.170         78.250        4.93797
            340            340         77.260         78.333         4.9379
            341            341         77.342         78.417        4.93784
            342            342         77.440         78.500        4.93777
            343            343         77.513         78.583        4.93769
            344            344         77.598         78.667        4.93757
            345            345         77.686         78.750        4.93749
            346            346         77.759         78.833        4.93744
            347            347         77.847         78.917        4.93743
            348            348         77.937         79.000        4.93749
            349            349         78.034         79.083        4.93754
            350            350         78.114         79.167         4.9376
            351            351         78.189         79.250        4.93766
            352            352         78.279         79.333         4.9378
            353            353         78.371         79.417        4.93787
            354            354         78.449         79.500        4.93793
            355            355         78.539         79.583        4.93798
            356            356         78.621         79.667        4.93796
            357            357         78.704         79.750        4.93795
            358            358         78.802         79.833        4.93793
            359            359         78.871         79.917         4.9379
            360            360         78.964         80.000        4.93781
            361            361         79.050         80.083        4.93773
            362            362         79.128         80.167        4.93765
            363            363         79.213         80.250        4.93756
            364            364         79.299         80.333        4.93745
            365            365         79.377         80.417        4.93736
            366            366         79.464         80.500        4.93728
            367            367         79.547         80.583        4.93721
            368            368         79.634         80.667        4.93717
            369            369         79.722         80.750        4.93713
            370            370         79.815         80.833        4.93709
            371            371         79.893         80.917        4.93706
            372            372         79.978         81.000        4.93709
            373            373         80.061         81.083        4.93714
            374            374         80.163         81.167        4.93723
            375            375         80.242         81.250        4.93733
            376            376         80.322         81.333        4.93749
            377            377         80.403         81.417        4.93761
            378            378         80.494         81.500        4.93771
            379            379         80.583         81.583         4.9378
            380            380         80.663         81.667        4.93785
            381            381         80.744         81.750         4.9379
