Title                                                           15.10.2024 18:00
________________________________________________________________________________

Title


FileName:
  SR_TGA_K001_PP, 15.10.2024 18:00:21
  Sample Weight
SampleID:
  SR_TGA_K001_PP, 4.9292 mg
Texts:

Remarks:
  
Evaluation:
  SR_TGA_K001_PP
Method:
  MT1a SR_PP_cracking
Order Nr:
  
Customer:
  
User:
  thermo
Results:
Curve:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
           8965           8965        244.755        239.583       0.025542
           8966           8966        244.329        239.167      0.0255373
           8967           8967        243.914        238.750      0.0255471
           8968           8968        243.498        238.333      0.0255752
           8969           8969        243.075        237.917      0.0255904
           8970           8970        242.659        237.500      0.0255882
           8971           8971        242.239        237.083      0.0255857
           8972           8972        241.820        236.667      0.0256297
           8973           8973        241.395        236.250      0.0256624
           8974           8974        240.977        235.833      0.0256798
           8975           8975        240.553        235.417      0.0256785
           8976           8976        240.132        235.000      0.0256562
           8977           8977        239.714        234.583      0.0256449
           8978           8978        239.294        234.167      0.0256357
           8979           8979        238.878        233.750      0.0256169
           8980           8980        238.457        233.333      0.0255243
           8981           8981        238.034        232.917      0.0254518
           8982           8982        237.615        232.500      0.0253979
           8983           8983        237.200        232.083      0.0253562
           8984           8984        236.786        231.667      0.0253265
           8985           8985        236.361        231.250      0.0253314
           8986           8986        235.936        230.833      0.0253319
           8987           8987        235.519        230.417      0.0253197
           8988           8988        235.108        230.000       0.025387
           8989           8989        234.681        229.583      0.0254265
           8990           8990        234.262        229.167       0.025474
           8991           8991        233.844        228.750      0.0255294
           8992           8992        233.416        228.333      0.0255338
           8993           8993        233.007        227.917      0.0255334
           8994           8994        232.582        227.500       0.025542
           8995           8995        232.167        227.083      0.0255582
           8996           8996        231.751        226.667      0.0255471
           8997           8997        231.328        226.250        0.02553
           8998           8998        230.912        225.833      0.0255039
           8999           8999        230.481        225.417       0.025484
           9000           9000        230.068        225.000      0.0254944
           9001           9001        229.653        224.583      0.0255102
           9002           9002        229.228        224.167      0.0255121
           9003           9003        228.808        223.750      0.0254972
           9004           9004        228.388        223.333      0.0255001
           9005           9005        227.971        222.917      0.0255006
           9006           9006        227.560        222.500       0.025498
           9007           9007        227.142        222.083      0.0254787
           9008           9008        226.681        221.667      0.0253969
           9009           9009        226.212        221.250      0.0253422
           9010           9010        225.747        220.833      0.0253082
           9011           9011        225.284        220.417       0.025287
           9012           9012        224.838        220.000      0.0252776
           9013           9013        224.401        219.583      0.0253011
           9014           9014        223.967        219.167      0.0253413
           9015           9015        223.556        218.750      0.0253881
           9016           9016        223.147        218.333       0.025491
           9017           9017        222.745        217.917      0.0255324
           9018           9018        222.343        217.500      0.0255453
           9019           9019        221.963        217.083      0.0255459
           9020           9020        221.579        216.667      0.0255029
           9021           9021        221.211        216.250      0.0254921
           9022           9022        220.849        215.833      0.0254855
           9023           9023        220.504        215.417      0.0254878
           9024           9024        220.149        215.000      0.0254944
           9025           9025        219.799        214.583      0.0254923
           9026           9026        219.460        214.167      0.0254937
           9027           9027        219.131        213.750      0.0254909
           9028           9028        218.820        213.333      0.0254936
           9029           9029        218.508        212.917      0.0255022
           9030           9030        218.198        212.500      0.0254995
           9031           9031        217.894        212.083      0.0254955
           9032           9032        217.596        211.667      0.0255129
           9033           9033        217.305        211.250      0.0255127
           9034           9034        217.023        210.833      0.0255106
           9035           9035        216.742        210.417      0.0255163
           9036           9036        216.468        210.000      0.0255102
           9037           9037        216.204        209.583      0.0255121
           9038           9038        215.944        209.167      0.0255181
           9039           9039        215.680        208.750      0.0255132
           9040           9040        215.439        208.333      0.0255152
           9041           9041        215.189        207.917      0.0255263
           9042           9042        214.950        207.500      0.0255245
           9043           9043        214.712        207.083      0.0255142
           9044           9044        214.487        206.667      0.0255375
           9045           9045        214.262        206.250      0.0255547
           9046           9046        214.033        205.833      0.0255527
           9047           9047        213.825        205.417      0.0255367
           9048           9048        213.619        205.000      0.0255487
           9049           9049        213.413        204.583      0.0255715
           9050           9050        213.209        204.167      0.0255878
           9051           9051        213.014        203.750      0.0255925
           9052           9052        212.809        203.333      0.0256162
           9053           9053        212.630        202.917      0.0256472
           9054           9054        212.444        202.500       0.025669
           9055           9055        212.259        202.083      0.0256781
           9056           9056        212.079        201.667      0.0257003
           9057           9057        211.903        201.250      0.0257447
           9058           9058        211.723        200.833      0.0257973
           9059           9059        211.572        200.417      0.0258457
           9060           9060        211.407        200.000      0.0259044
           9061           9061        211.249        200.000      0.0259475
           9062           9062        211.103        200.000      0.0259796
           9063           9063        210.957        200.000      0.0260045
           9064           9064        210.804        200.000      0.0259917
           9065           9065        210.666        200.000      0.0259745
           9066           9066        210.524        200.000      0.0259428
           9067           9067        210.395        200.000         0.0259
           9068           9068        210.247        200.000      0.0257883
           9069           9069        210.115        200.000      0.0257084
           9070           9070        209.985        200.000      0.0256574
           9071           9071        209.856        200.000      0.0256192
           9072           9072        209.736        200.000      0.0255582
           9073           9073        209.603        200.000      0.0255319
           9074           9074        209.471        200.000      0.0255321
           9075           9075        209.351        200.000      0.0255351
           9076           9076        209.242        200.000      0.0255472
           9077           9077        209.123        200.000        0.02554
           9078           9078        209.013        200.000      0.0255478
           9079           9079        208.892        200.000      0.0255655
           9080           9080        208.786        200.000      0.0255428
           9081           9081        208.684        200.000      0.0255206
           9082           9082        208.579        200.000      0.0254882
           9083           9083        208.477        200.000      0.0254475
           9084           9084        208.378        200.000      0.0253891
           9085           9085        208.279        200.000      0.0253366
           9086           9086        208.179        200.000      0.0252847
           9087           9087        208.082        200.000      0.0252329
           9088           9088        207.993        200.000      0.0251799
           9089           9089        207.895        200.000      0.0251375
           9090           9090        207.815        200.000      0.0251014
           9091           9091        207.729        200.000       0.025069
           9092           9092        207.643        200.000      0.0250609
           9093           9093        207.558        200.000      0.0250459
           9094           9094        207.476        200.000      0.0250325
           9095           9095        207.393        200.000      0.0250211
           9096           9096        207.312        200.000      0.0250212
           9097           9097        207.238        200.000      0.0250173
           9098           9098        207.151        200.000      0.0250136
           9099           9099        207.085        200.000      0.0250105
           9100           9100        207.015        200.000      0.0250108
           9101           9101        206.948        200.000      0.0250083
           9102           9102        206.875        200.000      0.0250015
           9103           9103        206.800        200.000      0.0249906
           9104           9104        206.739        200.000       0.024959
           9105           9105        206.672        200.000      0.0249188
           9106           9106        206.601        200.000      0.0248675
           9107           9107        206.542        200.000      0.0248089
           9108           9108        206.480        200.000      0.0247727
           9109           9109        206.414        200.000      0.0247825
           9110           9110        206.357        200.000      0.0248014
           9111           9111        206.296        200.000      0.0248216
           9112           9112        206.235        200.000      0.0249139
           9113           9113        206.179        200.000       0.024959
           9114           9114        206.126        200.000      0.0249898
           9115           9115        206.069        200.000      0.0250157
           9116           9116        206.012        200.000      0.0250108
           9117           9117        205.962        200.000      0.0250166
           9118           9118        205.913        200.000      0.0250298
           9119           9119        205.859        200.000      0.0250578
           9120           9120        205.807        200.000      0.0251486
           9121           9121        205.765        200.000      0.0252543
           9122           9122        205.710        200.000       0.025363
           9123           9123        205.656        200.000      0.0254717
           9124           9124        205.617        200.000      0.0256486
           9125           9125        205.572        200.000      0.0257615
           9126           9126        205.526        200.000      0.0258495
           9127           9127        205.478        200.000      0.0259266
           9128           9128        205.435        200.000      0.0259272
           9129           9129        205.389        200.000      0.0259542
           9130           9130        205.346        200.000       0.025979
           9131           9131        205.302        200.000      0.0259991
           9132           9132        205.267        200.000      0.0259936
           9133           9133        205.235        200.000      0.0259973
           9134           9134        205.194        200.000      0.0259985
           9135           9135        205.145        200.000      0.0259953
           9136           9136        205.108        200.000      0.0259673
           9137           9137        205.078        200.000      0.0259324
           9138           9138        205.042        200.000      0.0258864
           9139           9139        205.002        200.000      0.0258325
           9140           9140        204.968        200.000      0.0257291
           9141           9141        204.930        200.000      0.0256389
           9142           9142        204.900        200.000      0.0255488
           9143           9143        204.867        200.000      0.0254576
           9144           9144        204.838        200.000      0.0253587
           9145           9145        204.807        200.000      0.0252793
           9146           9146        204.774        200.000      0.0252107
           9147           9147        204.741        200.000      0.0251482
           9148           9148        204.715        200.000      0.0251256
           9149           9149        204.678        200.000      0.0250935
           9150           9150        204.653        200.000      0.0250649
           9151           9151        204.629        200.000      0.0250405
           9152           9152        204.594        200.000      0.0250392
           9153           9153        204.567        200.000      0.0250301
           9154           9154        204.539        200.000      0.0250215
           9155           9155        204.514        200.000      0.0250145
           9156           9156        204.490        200.000      0.0250152
           9157           9157        204.460        200.000      0.0250255
           9158           9158        204.432        200.000      0.0250779
           9159           9159        204.409        200.000      0.0251647
           9160           9160        204.394        200.000      0.0252958
           9161           9161        204.359        200.000       0.025411
           9162           9162        204.337        200.000      0.0255202
           9163           9163        204.305        200.000      0.0256255
           9164           9164        204.277        200.000      0.0257506
           9165           9165        204.261        200.000       0.025838
           9166           9166        204.245        200.000      0.0259066
           9167           9167        204.228        200.000      0.0259655
           9168           9168        204.202        200.000      0.0259569
           9169           9169        204.179        200.000      0.0259738
           9170           9170        204.161        200.000      0.0259903
           9171           9171        204.142        200.000      0.0260033
           9172           9172        204.120        200.000      0.0259993
           9173           9173        204.100        200.000      0.0260021
           9174           9174        204.078        200.000      0.0260052
           9175           9175        204.059        200.000      0.0260075
           9176           9176        204.038        200.000      0.0260066
           9177           9177        204.017        200.000      0.0260071
           9178           9178        204.007        200.000      0.0260076
           9179           9179        203.991        200.000       0.026008
           9180           9180        203.969        200.000      0.0260072
           9181           9181        203.954        200.000      0.0260037
           9182           9182        203.944        200.000      0.0259933
           9183           9183        203.930        200.000      0.0259767
           9184           9184        203.908        200.000      0.0259346
           9185           9185        203.889        200.000      0.0258854
           9186           9186        203.869        200.000      0.0258261
           9187           9187        203.852        200.000      0.0257599
           9188           9188        203.843        200.000      0.0256495
           9189           9189        203.826        200.000      0.0255604
           9190           9190        203.810        200.000      0.0254953
           9191           9191        203.794        200.000      0.0254604
           9192           9192        203.780        200.000      0.0255005
           9193           9193        203.767        200.000      0.0255451
           9194           9194        203.750        200.000      0.0255964
           9195           9195        203.737        200.000      0.0256519
           9196           9196        203.728        200.000      0.0257976
           9197           9197        203.720        200.000      0.0258754
           9198           9198        203.703        200.000      0.0259322
           9199           9199        203.690        200.000      0.0259817
           9200           9200        203.684        200.000      0.0259717
           9201           9201        203.667        200.000      0.0259847
           9202           9202        203.649        200.000      0.0259974
           9203           9203        203.645        200.000      0.0260073
           9204           9204        203.633        200.000      0.0260032
           9205           9205        203.622        200.000      0.0260048
           9206           9206        203.608        200.000      0.0260069
           9207           9207        203.592        200.000      0.0260083
           9208           9208        203.575        200.000      0.0260075
           9209           9209        203.572        200.000      0.0260077
           9210           9210        203.548        200.000       0.026008
           9211           9211        203.539        200.000      0.0260081
           9212           9212        203.535        200.000       0.026008
           9213           9213        203.529        200.000       0.026008
           9214           9214        203.513        200.000      0.0260081
           9215           9215        203.506        200.000      0.0260081
           9216           9216        203.502        200.000      0.0260081
           9217           9217        203.496        200.000      0.0260081
           9218           9218        203.485        200.000      0.0260081
           9219           9219        203.475        200.000      0.0260081
           9220           9220        203.464        200.000      0.0260081
           9221           9221        203.462        200.000      0.0260081
           9222           9222        203.449        200.000      0.0260081
           9223           9223        203.439        200.000      0.0260081
           9224           9224        203.436        200.000      0.0260081
           9225           9225        203.424        200.000      0.0260081
           9226           9226        203.418        200.000      0.0260081
           9227           9227        203.407        200.000      0.0260081
           9228           9228        203.398        200.000      0.0260081
           9229           9229        203.392        200.000      0.0260081
           9230           9230        203.386        200.000      0.0260081
           9231           9231        203.384        200.000      0.0260081
           9232           9232        203.368        200.000      0.0260081
           9233           9233        203.360        200.000      0.0260081
           9234           9234        203.353        200.000      0.0260081
           9235           9235        203.344        200.000      0.0260081
           9236           9236        203.345        200.000      0.0260081
           9237           9237        203.339        200.000      0.0260081
           9238           9238        203.327        200.000      0.0260081
           9239           9239        203.326        200.000      0.0260081
           9240           9240        203.313        200.000      0.0260081
           9241           9241        203.312        200.000      0.0260081
           9242           9242        203.304        200.000      0.0260081
           9243           9243        203.299        200.000      0.0260081
           9244           9244        203.291        200.000      0.0260081
           9245           9245        203.282        200.000      0.0260081
           9246           9246        203.279        200.000      0.0260081
           9247           9247        203.272        200.000      0.0260081
           9248           9248        203.275        200.000      0.0260081
           9249           9249        203.269        200.000      0.0260081
           9250           9250        203.256        200.000      0.0260081
           9251           9251        203.253        200.000      0.0260081
           9252           9252        203.256        200.000      0.0260081
           9253           9253        203.250        200.000      0.0260081
           9254           9254        203.242        200.000      0.0260081
           9255           9255        203.233        200.000      0.0260081
           9256           9256        203.223        200.000      0.0260081
           9257           9257        203.220        200.000      0.0260081
           9258           9258        203.216        200.000      0.0260081
           9259           9259        203.216        200.000      0.0260081
           9260           9260        203.209        200.000      0.0260081
           9261           9261        203.209        200.000      0.0260081
           9262           9262        203.202        200.000      0.0260081
           9263           9263        203.197        200.000      0.0260081
           9264           9264        203.189        200.000      0.0260081
           9265           9265        203.184        200.000      0.0260081
           9266           9266        203.179        200.000      0.0260081
           9267           9267        203.179        200.000      0.0260081
           9268           9268        203.178        200.000      0.0260081
           9269           9269        203.175        200.000      0.0260081
           9270           9270        203.168        200.000      0.0260081
           9271           9271        203.165        200.000      0.0260081
           9272           9272        203.155        200.000      0.0260081
           9273           9273        203.153        200.000      0.0260081
           9274           9274        203.151        200.000      0.0260081
           9275           9275        203.150        200.000      0.0260081
           9276           9276        203.143        200.000      0.0260081
           9277           9277        203.141        200.000      0.0260081
           9278           9278        203.133        200.000      0.0260081
           9279           9279        203.135        200.000      0.0260081
           9280           9280        203.131        200.000      0.0260081
           9281           9281        203.127        200.000      0.0260081
           9282           9282        203.127        200.000      0.0260081
           9283           9283        203.123        200.000      0.0260081
           9284           9284        203.118        200.000      0.0260081
           9285           9285        203.119        200.000      0.0260081
           9286           9286        203.116        200.000      0.0260081
           9287           9287        203.108        200.000      0.0260081
           9288           9288        203.108        200.000      0.0260081
           9289           9289        203.106        200.000      0.0260081
           9290           9290        203.103        200.000      0.0260081
           9291           9291        203.097        200.000      0.0260081
           9292           9292        203.093        200.000      0.0260081
           9293           9293        203.094        200.000      0.0260081
           9294           9294        203.096        200.000      0.0260081
           9295           9295        203.089        200.000      0.0260081
           9296           9296        203.088        200.000      0.0260081
           9297           9297        203.087        200.000      0.0260081
           9298           9298        203.082        200.000      0.0260081
           9299           9299        203.080        200.000      0.0260081
           9300           9300        203.079        200.000      0.0260081
           9301           9301        203.070        200.000      0.0260081
           9302           9302        203.074        200.000      0.0260081
           9303           9303        203.066        200.000      0.0260081
           9304           9304        203.069        200.000      0.0260081
           9305           9305        203.067        200.000      0.0260081
           9306           9306        203.060        200.000      0.0260081
           9307           9307        203.058        200.000      0.0260081
           9308           9308        203.052        200.000      0.0260081
           9309           9309        203.049        200.000      0.0260081
           9310           9310        203.049        200.000      0.0260081
           9311           9311        203.041        200.000      0.0260081
           9312           9312        203.045        200.000      0.0260081
           9313           9313        203.049        200.000      0.0260081
           9314           9314        203.042        200.000      0.0260081
           9315           9315        203.038        200.000      0.0260081
           9316           9316        203.028        200.000      0.0260081
           9317           9317        203.029        200.000      0.0260081
           9318           9318        203.033        200.000      0.0260081
           9319           9319        203.029        200.000      0.0260081
           9320           9320        203.022        200.000      0.0260081
           9321           9321        203.024        200.000      0.0260081
           9322           9322        203.026        200.000      0.0260081
           9323           9323        203.029        200.000      0.0260081
           9324           9324        203.025        200.000      0.0260081
           9325           9325        203.030        200.000      0.0260081
           9326           9326        203.025        200.000      0.0260081
           9327           9327        203.022        200.000      0.0260081
           9328           9328        203.014        200.000      0.0260081
           9329           9329        203.013        200.000      0.0260081
           9330           9330        203.018        200.000      0.0260081
           9331           9331        203.016        200.000      0.0260081
           9332           9332        203.019        200.000      0.0260081
           9333           9333        203.012        200.000      0.0260081
           9334           9334        203.015        200.000      0.0260081
           9335           9335        203.011        200.000      0.0260081
           9336           9336        203.009        200.000      0.0260081
           9337           9337        203.004        200.000      0.0260081
           9338           9338        203.008        200.000      0.0260081
           9339           9339        203.004        200.000      0.0260081
           9340           9340        203.003        200.000      0.0260081
           9341           9341        203.004        200.000      0.0260081
           9342           9342        203.007        200.000      0.0260081
           9343           9343        203.003        200.000      0.0260081
           9344           9344        203.000        200.000      0.0260081
           9345           9345        202.999        200.000      0.0260081
           9346           9346        203.004        200.000      0.0260081
           9347           9347        202.998        200.000      0.0260081
           9348           9348        202.996        200.000      0.0260081
           9349           9349        202.997        200.000      0.0260081
           9350           9350        202.999        200.000      0.0260081
           9351           9351        202.995        200.000      0.0260081
           9352           9352        203.002        200.000      0.0260081
           9353           9353        202.999        200.000      0.0260081
           9354           9354        202.995        200.000      0.0260081
           9355           9355        202.994        200.000      0.0260081
           9356           9356        202.993        200.000      0.0260081
           9357           9357        202.994        200.000      0.0260081
           9358           9358        202.990        200.000      0.0260081
           9359           9359        202.994        200.000      0.0260081
           9360           9360        202.996        200.000      0.0260081
           9361           9361        202.986        200.000      0.0260081
           9362           9362        202.983        200.000      0.0260081
           9363           9363        202.983        200.000      0.0260081
           9364           9364        202.984        200.000      0.0260081
           9365           9365        202.978        200.000      0.0260081
           9366           9366        202.983        200.000      0.0260081
           9367           9367        202.981        200.000      0.0260081
           9368           9368        202.980        200.000      0.0260081
           9369           9369        202.982        200.000      0.0260081
           9370           9370        202.976        200.000      0.0260081
           9371           9371        202.977        200.000      0.0260081
           9372           9372        202.978        200.000      0.0260081
           9373           9373        202.976        200.000      0.0260081
           9374           9374        202.982        200.000      0.0260081
           9375           9375        202.986        200.000      0.0260081
           9376           9376        202.983        200.000      0.0260081
           9377           9377        202.978        200.000      0.0260081
           9378           9378        202.968        200.000      0.0260081
           9379           9379        202.968        200.000      0.0260081
           9380           9380        202.970        200.000      0.0260081
           9381           9381        202.973        200.000      0.0260081
           9382           9382        202.971        200.000      0.0260081
           9383           9383        202.970        200.000      0.0260081
           9384           9384        202.968        200.000      0.0260081
           9385           9385        202.969        200.000      0.0260081
           9386           9386        202.970        200.000      0.0260081
           9387           9387        202.972        200.000      0.0260081
           9388           9388        202.977        200.000      0.0260081
           9389           9389        202.968        200.000      0.0260081
           9390           9390        202.966        200.000      0.0260081
           9391           9391        202.969        200.000      0.0260081
           9392           9392        202.965        200.000      0.0260081
           9393           9393        202.963        200.000      0.0260081
           9394           9394        202.972        200.000      0.0260081
           9395           9395        202.967        200.000      0.0260081
           9396           9396        202.966        200.000      0.0260081
           9397           9397        202.968        200.000      0.0260081
           9398           9398        202.970        200.000      0.0260081
           9399           9399        202.968        200.000      0.0260081
           9400           9400        202.969        200.000      0.0260081
           9401           9401        202.968        200.000      0.0260081
           9402           9402        202.964        200.000      0.0260081
           9403           9403        202.960        200.000      0.0260081
           9404           9404        202.964        200.000      0.0260081
           9405           9405        202.968        200.000      0.0260081
           9406           9406        202.970        200.000      0.0260081
           9407           9407        202.968        200.000      0.0260081
           9408           9408        202.972        200.000      0.0260081
           9409           9409        202.972        200.000      0.0260081
           9410           9410        202.962        200.000      0.0260081
           9411           9411        202.964        200.000      0.0260081
           9412           9412        202.972        200.000      0.0260081
           9413           9413        202.968        200.000      0.0260081
           9414           9414        202.967        200.000      0.0260081
           9415           9415        202.966        200.000      0.0260081
           9416           9416        202.972        200.000      0.0260081
           9417           9417        202.971        200.000      0.0260081
           9418           9418        202.966        200.000      0.0260081
           9419           9419        202.960        200.000      0.0260081
           9420           9420        202.958        200.000      0.0260081
           9421           9421        202.958        200.000      0.0260081
           9422           9422        202.960        200.000      0.0260081
           9423           9423        202.956        200.000      0.0260081
           9424           9424        202.956        200.000      0.0260081
           9425           9425        202.969        200.000      0.0260081
           9426           9426        202.956        200.000      0.0260081
           9427           9427        202.961        200.000      0.0260081
           9428           9428        202.962        200.000      0.0260081
           9429           9429        202.957        200.000      0.0260081
           9430           9430        202.951        200.000      0.0260081
           9431           9431        202.956        200.000      0.0260081
           9432           9432        202.956        200.000      0.0260081
           9433           9433        202.955        200.000      0.0260081
           9434           9434        202.960        200.000      0.0260081
           9435           9435        202.964        200.000      0.0260081
           9436           9436        202.961        200.000      0.0260081
           9437           9437        202.959        200.000      0.0260081
           9438           9438        202.959        200.000      0.0260081
           9439           9439        202.955        200.000      0.0260081
           9440           9440        202.955        200.000      0.0260081
           9441           9441        202.957        200.000      0.0260081
           9442           9442        202.960        200.000      0.0260081
           9443           9443        202.955        200.000      0.0260081
           9444           9444        202.958        200.000      0.0260081
           9445           9445        202.957        200.000      0.0260081
           9446           9446        202.955        200.000      0.0260081
           9447           9447        202.962        200.000      0.0260081
           9448           9448        202.954        200.000      0.0260081
           9449           9449        202.957        200.000      0.0260081
           9450           9450        202.963        200.000      0.0260081
           9451           9451        202.958        200.000      0.0260081
           9452           9452        202.958        200.000      0.0260081
           9453           9453        202.958        200.000      0.0260081
           9454           9454        202.957        200.000      0.0260081
           9455           9455        202.952        200.000      0.0260081
           9456           9456        202.949        200.000      0.0260081
           9457           9457        202.947        200.000      0.0260081
           9458           9458        202.955        200.000      0.0260081
           9459           9459        202.956        200.000      0.0260081
           9460           9460        202.960        200.000      0.0260081
           9461           9461        202.955        200.000      0.0260081
           9462           9462        202.958        200.000      0.0260081
           9463           9463        202.958        200.000      0.0260081
           9464           9464        202.957        200.000      0.0260081
           9465           9465        202.958        200.000      0.0260081
           9466           9466        202.959        200.000      0.0260081
           9467           9467        202.955        200.000      0.0260081
           9468           9468        202.962        200.000      0.0260081
           9469           9469        202.959        200.000      0.0260081
           9470           9470        202.965        200.000      0.0260081
           9471           9471        202.962        200.000      0.0260081
           9472           9472        202.959        200.000      0.0260081
           9473           9473        202.960        200.000      0.0260081
           9474           9474        202.962        200.000      0.0260081
           9475           9475        202.961        200.000      0.0260081
           9476           9476        202.959        200.000      0.0259719
           9477           9477        202.957        200.000      0.0258963
           9478           9478        202.963        200.000       0.025794
           9479           9479        202.956        200.000      0.0256858
           9480           9480        202.957        200.000      0.0255187
           9481           9481        202.960        200.000      0.0253987
           9482           9482        202.966        200.000      0.0252975
           9483           9483        202.963        200.000      0.0252056
           9484           9484        202.960        200.000      0.0251589
           9485           9485        202.965        200.000      0.0251081
           9486           9486        202.962        200.000      0.0250656
           9487           9487        202.956        200.000        0.02503
           9488           9488        202.957        200.000      0.0250369
           9489           9489        202.961        200.000      0.0250274
           9490           9490        202.959        200.000      0.0250179
           9491           9491        202.958        200.000      0.0250105
           9492           9492        202.960        200.000      0.0250129
           9493           9493        202.958        200.000      0.0250114
           9494           9494        202.961        200.000      0.0250096
           9495           9495        202.963        200.000      0.0250083
           9496           9496        202.964        200.000      0.0250088
           9497           9497        202.951        200.000      0.0250086
           9498           9498        202.964        200.000      0.0250083
           9499           9499        202.958        200.000      0.0250081
           9500           9500        202.958        200.000      0.0250082
           9501           9501        202.961        200.000      0.0250081
           9502           9502        202.958        200.000      0.0250081
           9503           9503        202.967        200.000      0.0250081
           9504           9504        202.959        200.000      0.0250081
           9505           9505        202.954        200.000      0.0250081
           9506           9506        202.955        200.000      0.0250081
           9507           9507        202.954        200.000      0.0250081
           9508           9508        202.965        200.000      0.0250081
           9509           9509        202.969        200.000      0.0250081
           9510           9510        202.965        200.000      0.0250081
           9511           9511        202.967        200.000      0.0250081
           9512           9512        202.966        200.000      0.0250081
           9513           9513        202.966        200.000      0.0250081
           9514           9514        202.964        200.000      0.0250081
           9515           9515        202.965        200.000      0.0250081
           9516           9516        202.968        200.000      0.0250081
           9517           9517        202.962        200.000      0.0250081
           9518           9518        202.959        200.000      0.0250081
           9519           9519        202.954        200.000      0.0250081
           9520           9520        202.958        200.000      0.0250081
           9521           9521        202.962        200.000      0.0250081
           9522           9522        202.956        200.000      0.0250081
           9523           9523        202.958        200.000      0.0250081
           9524           9524        202.963        200.000      0.0250081
           9525           9525        202.960        200.000      0.0250081
           9526           9526        202.957        200.000      0.0250081
           9527           9527        202.962        200.000      0.0250081
           9528           9528        202.962        200.000      0.0250081
           9529           9529        202.962        200.000      0.0250081
           9530           9530        202.956        200.000      0.0250081
           9531           9531        202.962        200.000      0.0250081
           9532           9532        202.961        200.000      0.0250081
           9533           9533        202.964        200.000      0.0250081
           9534           9534        202.960        200.000      0.0250081
           9535           9535        202.957        200.000      0.0250081
           9536           9536        202.959        200.000      0.0250081
           9537           9537        202.962        200.000      0.0250081
           9538           9538        202.962        200.000      0.0250081
           9539           9539        202.959        200.000      0.0250081
           9540           9540        202.962        200.000      0.0250081
           9541           9541        202.964        200.000      0.0250081
           9542           9542        202.964        200.000      0.0250081
           9543           9543        202.964        200.000      0.0250081
           9544           9544        202.966        200.000      0.0250081
           9545           9545        202.968        200.000      0.0250081
           9546           9546        202.971        200.000      0.0250081
           9547           9547        202.968        200.000      0.0250081
           9548           9548        202.966        200.000      0.0250081
           9549           9549        202.966        200.000      0.0250081
           9550           9550        202.971        200.000      0.0250081
           9551           9551        202.970        200.000      0.0250081
           9552           9552        202.976        200.000      0.0250081
           9553           9553        202.970        200.000      0.0250081
           9554           9554        202.975        200.000      0.0250081
           9555           9555        202.977        200.000      0.0250081
           9556           9556        202.968        200.000       0.025012
           9557           9557        202.968        200.000      0.0250226
